SchooName,TaxBase
RAND RD ES,104648544
N GARNER MS,457240608
GARNER HS,658243872
DILLARD DR ES,160509888
DILLARD DR MS,570461760
ATHENS DR HS,593740224
ALSTON RIDGE ES,60949152
MILLS PARK MS,211178880
PANTHER CREEK HS,383955264
BRIER CREEK ES,70253568
NORTHWOODS ES,98584992
W CARY MS,244667808
CARY HS,570426912
HOLLY GROVE ES,3902976
HOLLY GROVE MS,56767392
HOLLY SPRINGS HS,127404288
LAUREL PARK ES,126951264
SALEM MS,275473440
APEX HS,428874336
CONN ES,108795456
LIGON MS,110781792
ENLOE HS,235119456
LACY ES,129007296
DANIELS MS,671695200
BROUGHTON HS,787739040
REEDY CREEK ES,115346880
REEDY CREEK MS,457554240
CARY ES,106739424
VANDORA SPRINGS ES,105101568
WILEY ES,83217024
FARMINGTON WOODS ES,75585312
MARTIN MS,193092768
SMITH ES,55338624
LEESVILLE RD ES,161137152
LEESVILLE RD MS,435600000
LEESVILLE RD HS,504773280
DOUGLAS ES,87607872
CARROLL MS,444765024
SANDERSON HS,690687360
BANKS RD ES,68162688
MIDDLE CREEK HS,361025280
ROOT ES,83217024
VANCE ES,94368384
OLDS ES,63667296
W LAKE ES,46243296
W LAKE MS,140437440
EAST GARNER ES,60844608
E GARNER MS,322344000
COMBS ES,62935488
CENTENNIAL MS,111966624
GREEN ES,115172640
POWELL ES,21954240
JOYNER ES,75306528
HIGHCROFT DR ES,53875008
YATES MILL ES,152181216
HOLLY SPRINGS ES,23766336
HOLLY RIDGE MS,99386496
LOCKHART ES,111896928
E WAKE MS,302097312
KNIGHTDALE HS,429327360
BROOKS ES,48578112
MOORE SQUARE MS,72867168
STOUGH ES,191838240
WALNUT CREEK ES,113499936
W MILLBROOK MS,525507840
BAUCOM ES,88060896
LUFKIN RD MS,148487328
SYCAMORE CREEK ES,100641024
CREECH RD ES,103603104
WILBURN ES,189607968
DURANT RD MS,294291360
HERITAGE HS,165981024
SOUTHEAST RALEIGH HS,209680416
N RIDGE ES,195253344
MILLBROOK HS,540945504
BRASSFIELD ES,149219136
PLEASANT UNION ES,110433312
MIDDLE CREEK ES,94925952
WAKELON ES,82520064
ZEBULON MS,192012480
09 - ROLESVILLE HS,390959712
10 - ROLESVILLE HS,390959712
11 - ROLESVILLE HS,390959712
12 - WAKE FOREST HS,49240224
ZEBULON ES,109492416
12 - E WAKE HS,7178688
E WAKE HS,420232032
FORESTVILLE RD ES,71577792
WENDELL MS,268259904
12 - HERITAGE HS,76944384
WENDELL ES,56209824
CARVER ES,80359488
BARWELL RD ES,171243072
WAKEFIELD MS,200201760
WAKEFIELD HS,311366880
OLIVE CHAPEL ES,105345504
APEX MS,220099968
APEX ES,125801280
HILBURN DRIVE ACAD,82520064
or HILBURN DRIVE ACAD,165040128
LYNN RD ES,177446016
FULLER ES,24079968
HUNTER ES,39029760
ADAMS ES,33698016
E CARY MS,94124448
UNDERWOOD ES,32791968
KINGSWOOD ES,62830944
HODGE RD ES,92416896
PENNY RD ES,104230368
BRIARCLIFF ES,173090016
AVERSBORO ES,84854880
RIVER BEND ES,173961216
ROLESVILLE MS,281293056
12 - WAKEFIELD HS,77780736
TIMBER DR ES,78198912
LEAD MINE ES,81439776
FOX RD ES,129042144
SWIFT CREEK ES,118343808
E MILLBROOK MS,338234688
12 - MILLBROOK HS,58614336
JEFFREYS GROVE ES,95866848
BAILEYWICK ES,84157920
HARRIS CREEK ES,136987488
12 - KNIGHTDALE HS,121201344
KNIGHTDALE ES,60112800
BRENTWOOD ES,55861344
DURANT RD ES,83007936
GREEN HOPE ES,67814208
DAVIS DR MS,227278656
GREEN HOPE HS,304397280
BUGG ES,14183136
WAKE FOREST MS,87433632
TURNER CREEK ES,64956672
POE ES,6237792
WEATHERSTONE ES,94960800
CARPENTER ES,58579488
SALEM ES,92695680
YORK ES,90082080
CEDAR FORK ES,64538496
CARNAGE MS,73842912
SANFORD CREEK ES,33488928
ROLESVILLE ES,37531296
WAKEFIELD ES,76630752
WILDWOOD FOREST ES,149532768
WILLOW SPRINGS ES,4425696
FUQUAY-VARINA MS,4425696
FUQUAY-VARINA HS,4460544
MILLBROOK ES,71124768
WAKE FOREST HS,14531616
OAK GROVE ES,47706912
LAKE MYRA ES,89315424
N FOREST PINES ES,10558944
MORRISVILLE ES,31711680
PARTNERSHIP ES,6446880
MILLS PARK ES,45093312
DAVIS DR ES,60530976
WASHINGTON ES,7596864
BALLENTINE ES,34848
FOREST PINES DR ES,18469440
HOLLY RIDGE ES,10175616
